Model,DPO4054
-7.200e-02,-0.0076
-7.100e-02,0.0068
-7.000e-02,-0.0076
-6.900e-02,0.0076
-6.800e-02,-0.0068
-6.700e-02,0.0068
-6.600e-02,-0.0076
-6.500e-02,0.0076
-6.400e-02,-0.0068
-6.300e-02,0.0068
-6.200e-02,-0.0076
-6.100e-02,0.0076
-6.000e-02,-0.0076
-5.900e-02,0.0948
-5.800e-02,-0.0076
-5.700e-02,0.0484
-5.600e-02,-0.0076
-5.500e-02,0.0076
-5.400e-02,-0.0068
-5.300e-02,0.0068
-5.200e-02,-0.0068
-5.100e-02,0.0076
-5.000e-02,-0.0068
-4.900e-02,0.0076
-4.800e-02,-0.0076
-4.700e-02,0.0068
-4.600e-02,-0.0084
-4.500e-02,0.0068
-4.400e-02,-0.0076
-4.300e-02,0.0076
-4.200e-02,-0.0084
-4.100e-02,0.0076
-4.000e-02,-0.0076
-3.900e-02,0.0076
-3.800e-02,-0.0076
-3.700e-02,0.0076
-3.600e-02,-0.0076
-3.500e-02,0.0956
-3.400e-02,-0.0076
-3.300e-02,0.0076
-3.200e-02,-0.0076
-3.100e-02,0.0076
-3.000e-02,-0.0084
-2.900e-02,0.0068
-2.800e-02,-0.0076
-2.700e-02,0.0076
-2.600e-02,-0.0076
-2.500e-02,0.0076
-2.400e-02,-0.0092
-2.300e-02,0.0076
-2.200e-02,-0.0068
-2.100e-02,0.0076
-2.000e-02,-0.0068
-1.900e-02,0.0076
-1.800e-02,-0.0068
-1.700e-02,0.0076
-1.600e-02,-0.0068
-1.500e-02,0.0076
-1.400e-02,-0.0076
-1.300e-02,0.0948
-1.200e-02,-0.0068
-1.100e-02,0.0484
-1.000e-02,-0.0084
-9.000e-03,0.0076
-8.000e-03,-0.0084
-7.000e-03,0.0076
-6.000e-03,-0.0076
-5.000e-03,0.0076
-4.000e-03,-0.0068
-3.000e-03,0.0076
-2.000e-03,-0.0068
-1.000e-03,0.0076
0.000e+00,-0.0068
1.000e-03,0.1284
2.000e-03,-0.0076
3.000e-03,0.0076
4.000e-03,-0.0076
5.000e-03,0.0076
6.000e-03,-0.0084
7.000e-03,0.0084
8.000e-03,-0.0076
9.000e-03,0.0948
1.000e-02,-0.0068
1.100e-02,0.0484
1.200e-02,-0.0076
1.300e-02,0.0076
1.400e-02,-0.0076
1.500e-02,0.0076
1.600e-02,-0.0068
1.700e-02,0.0076
1.800e-02,-0.0068
1.900e-02,0.0076
2.000e-02,-0.0068
2.100e-02,0.0076
2.200e-02,-0.0076
2.300e-02,0.0076
2.400e-02,-0.0076
2.500e-02,0.0076
2.600e-02,-0.0076
2.700e-02,0.0076
2.800e-02,-0.0076
2.900e-02,0.0076
3.000e-02,-0.0076
3.100e-02,0.0956
3.200e-02,-0.0076
3.300e-02,0.0484
3.400e-02,-0.0084
3.500e-02,0.0068
3.600e-02,-0.0092
3.700e-02,0.0076
3.800e-02,-0.0068
3.900e-02,0.0076
4.000e-02,-0.0068
4.100e-02,0.0076
4.200e-02,-0.0076
4.300e-02,0.0076
4.400e-02,-0.0076
4.500e-02,0.0068
4.600e-02,-0.0068
4.700e-02,0.0068
4.800e-02,-0.0068
4.900e-02,0.0068
5.000e-02,-0.0076
5.100e-02,0.0068
5.200e-02,-0.0068
5.300e-02,0.0076
5.400e-02,-0.0068
5.500e-02,0.0948
5.600e-02,-0.0084
5.700e-02,0.0076
5.800e-02,-0.0076
5.900e-02,0.0076
6.000e-02,-0.0068
6.100e-02,0.0084
6.200e-02,-0.0076
6.300e-02,0.0076
6.400e-02,-0.0084
6.500e-02,0.0068
6.600e-02,-0.0076
6.700e-02,0.0076
6.800e-02,-0.0076
6.900e-02,0.0076
7.000e-02,-0.0084
7.100e-02,0.0076
7.200e-02,-0.0068
7.300e-02,0.0076
7.400e-02,-0.0076
7.500e-02,0.0076
7.600e-02,-0.0076
7.700e-02,0.0956
7.800e-02,-0.0068
7.900e-02,0.0484
8.000e-02,-0.0076
8.100e-02,0.0076
8.200e-02,-0.0068
8.300e-02,0.0076
8.400e-02,-0.0076
8.500e-02,0.0076
8.600e-02,-0.0076
8.700e-02,0.0068
8.800e-02,-0.0084
8.900e-02,0.0084
9.000e-02,-0.0076
9.100e-02,0.0084
9.200e-02,-0.0076
9.300e-02,0.0084
9.400e-02,-0.0068
9.500e-02,0.0084
9.600e-02,-0.0076
9.700e-02,0.0076
9.800e-02,-0.0068
9.900e-02,0.0956
1.000e-01,-0.0076
1.010e-01,0.0484
1.020e-01,-0.0076
1.030e-01,0.0076
1.040e-01,-0.0076
1.050e-01,0.0076
1.060e-01,-0.0084
1.070e-01,0.0076
1.080e-01,-0.0076
1.090e-01,0.0076
1.100e-01,-0.0084
1.110e-01,0.0084
1.120e-01,-0.0076
1.130e-01,0.0076
1.140e-01,-0.0076
1.150e-01,0.0068
1.160e-01,-0.0076
1.170e-01,0.0076
1.180e-01,-0.0068
1.190e-01,0.0068
1.200e-01,-0.0068
1.210e-01,0.0948
1.220e-01,-0.0068
1.230e-01,0.0492
1.240e-01,-0.0076
1.250e-01,0.0076
1.260e-01,-0.0084
1.270e-01,0.0076
1.280e-01,-0.0076
1.290e-01,0.0076
1.300e-01,-0.0076
1.310e-01,0.0068
1.320e-01,-0.0076
1.330e-01,0.0068
1.340e-01,-0.0076
1.350e-01,0.0068
1.360e-01,-0.0076
1.370e-01,0.0076
1.380e-01,-0.0076
1.390e-01,0.0068
1.400e-01,-0.0076
1.410e-01,0.0076
1.420e-01,-0.0076
1.430e-01,0.0084
1.440e-01,-0.0068
1.450e-01,0.0956
1.460e-01,-0.0076
1.470e-01,0.0076
1.480e-01,-0.0076
1.490e-01,0.0068
1.500e-01,-0.0068
1.510e-01,0.0076
1.520e-01,-0.0084
1.530e-01,0.0076
1.540e-01,-0.0076
1.550e-01,0.0076
1.560e-01,-0.0076
1.570e-01,0.0076
1.580e-01,-0.0084
1.590e-01,0.0084
1.600e-01,-0.0076
1.610e-01,0.0076
1.620e-01,-0.0076
1.630e-01,0.0076
1.640e-01,-0.0076
1.650e-01,0.0076
1.660e-01,-0.0068
1.670e-01,0.0948
1.680e-01,-0.0076
1.690e-01,0.0492
1.700e-01,-0.0076
1.710e-01,0.0076
1.720e-01,-0.0084
1.730e-01,0.0076
1.740e-01,-0.0076
1.750e-01,0.0084
1.760e-01,-0.0084
1.770e-01,0.0076
1.780e-01,-0.0076
1.790e-01,0.0076
1.800e-01,-0.0068
1.810e-01,0.0076
1.820e-01,-0.0076
1.830e-01,0.0076
1.840e-01,-0.0076
1.850e-01,0.0068
1.860e-01,-0.0068
1.870e-01,0.0076
1.880e-01,-0.0068
1.890e-01,0.0956
1.900e-01,-0.0076
1.910e-01,0.0476
1.920e-01,-0.0084
1.930e-01,0.0076
1.940e-01,-0.0068
1.950e-01,0.0076
1.960e-01,-0.0068
1.970e-01,0.0076
1.980e-01,-0.0068
1.990e-01,0.0076
2.000e-01,-0.0076
2.010e-01,0.1276
2.020e-01,-0.0084
2.030e-01,0.0068
2.040e-01,-0.0076
2.050e-01,0.0076
2.060e-01,-0.0084
2.070e-01,0.0076
2.080e-01,-0.0076
2.090e-01,0.0076
2.100e-01,-0.0076
2.110e-01,0.0948
2.120e-01,-0.0068
2.130e-01,0.0484
2.140e-01,-0.0068
2.150e-01,0.0076
2.160e-01,-0.0076
2.170e-01,0.0076
2.180e-01,-0.0084
2.190e-01,0.0076
2.200e-01,-0.0076
2.210e-01,0.0076
2.220e-01,-0.0076
2.230e-01,0.0076
2.240e-01,-0.0076
2.250e-01,0.0076
2.260e-01,-0.0084
2.270e-01,0.0076
2.280e-01,-0.0076
2.290e-01,0.0076
2.300e-01,-0.0076
2.310e-01,0.0076
2.320e-01,-0.0068
2.330e-01,0.0076
2.340e-01,-0.006
2.350e-01,0.0956
2.360e-01,-0.0068
2.370e-01,0.0076
2.380e-01,-0.0076
2.390e-01,0.0076
2.400e-01,-0.0076
2.410e-01,0.0076
2.420e-01,-0.0076
2.430e-01,0.0076
2.440e-01,-0.0076
2.450e-01,0.0076
2.460e-01,-0.0076
2.470e-01,0.0076
2.480e-01,-0.0068
2.490e-01,0.0068
2.500e-01,-0.0076
2.510e-01,0.0076
2.520e-01,-0.0076
2.530e-01,0.0076
2.540e-01,-0.0068
2.550e-01,0.0076
2.560e-01,-0.0068
2.570e-01,0.0948
2.580e-01,-0.0076
2.590e-01,0.0484
2.600e-01,-0.0076
2.610e-01,0.0076
2.620e-01,-0.0076
2.630e-01,0.0068
2.640e-01,-0.0076
2.650e-01,0.0076
2.660e-01,-0.0068
2.670e-01,0.0068
2.680e-01,-0.0068
2.690e-01,0.0076
2.700e-01,-0.0068
2.710e-01,0.0076
2.720e-01,-0.0068
2.730e-01,0.0076
2.740e-01,-0.0092
2.750e-01,0.0108
2.760e-01,-0.0084
2.770e-01,0.0076
2.780e-01,-0.0068
2.790e-01,0.0956
2.800e-01,-0.0068
2.810e-01,0.0484
2.820e-01,-0.0068
2.830e-01,0.0076
2.840e-01,-0.0076
2.850e-01,0.0068
2.860e-01,-0.0076
2.870e-01,0.0076
2.880e-01,-0.0068
2.890e-01,0.0076
2.900e-01,-0.0092
2.910e-01,0.0084
2.920e-01,-0.0068
2.930e-01,0.0076
2.940e-01,-0.0076
2.950e-01,0.0076
2.960e-01,-0.0084
2.970e-01,0.0076
2.980e-01,-0.0076
2.990e-01,0.0068
3.000e-01,-0.0076
3.010e-01,0.0948
3.020e-01,-0.0076
3.030e-01,0.0492
3.040e-01,-0.0068
3.050e-01,0.0076
3.060e-01,-0.0076
3.070e-01,0.0076
3.080e-01,-0.0076
3.090e-01,0.0076
3.100e-01,-0.0068
3.110e-01,0.0076
3.120e-01,-0.0068
3.130e-01,0.0076
3.140e-01,-0.0092
3.150e-01,0.0068
3.160e-01,-0.0068
3.170e-01,0.0076
3.180e-01,-0.0076
3.190e-01,0.0076
3.200e-01,-0.0076
3.210e-01,0.0076
3.220e-01,-0.0076
3.230e-01,0.0076
3.240e-01,-0.0068
3.250e-01,0.0956
3.260e-01,-0.0076
3.270e-01,0.0076
3.280e-01,-0.0068
3.290e-01,0.0076
3.300e-01,-0.0076
3.310e-01,0.0068
3.320e-01,-0.0076
3.330e-01,0.0076
3.340e-01,-0.0076
3.350e-01,0.0068
3.360e-01,-0.0076
3.370e-01,0.0068
3.380e-01,-0.0084
3.390e-01,0.0076
3.400e-01,-0.0068
3.410e-01,0.0084
3.420e-01,-0.0076
3.430e-01,0.0076
3.440e-01,-0.0068
3.450e-01,0.0076
3.460e-01,-0.0068
3.470e-01,0.0948
3.480e-01,-0.0076
3.490e-01,0.0476
3.500e-01,-0.0076
3.510e-01,0.0068
3.520e-01,-0.0076
3.530e-01,0.0076
3.540e-01,-0.0076
3.550e-01,0.0076
3.560e-01,-0.0076
3.570e-01,0.0076
3.580e-01,-0.0076
3.590e-01,0.0076
3.600e-01,-0.0076
3.610e-01,0.0076
3.620e-01,-0.0076
3.630e-01,0.0076
3.640e-01,-0.0068
3.650e-01,0.0068
3.660e-01,-0.0068
3.670e-01,0.0068
3.680e-01,-0.0068
3.690e-01,0.0956
3.700e-01,-0.0068
3.710e-01,0.0476
3.720e-01,-0.0068
3.730e-01,0.0076
3.740e-01,-0.0084
3.750e-01,0.0076
3.760e-01,-0.0076
3.770e-01,0.0068
3.780e-01,-0.0068
3.790e-01,0.0076
3.800e-01,-0.0068
3.810e-01,0.0076
3.820e-01,-0.0076
3.830e-01,0.0076
3.840e-01,-0.0076
3.850e-01,0.0076
3.860e-01,-0.0068
3.870e-01,0.0076
3.880e-01,-0.0076
3.890e-01,0.0076
3.900e-01,-0.0076
3.910e-01,0.0948
3.920e-01,-0.0076
3.930e-01,0.0484
3.940e-01,-0.0084
3.950e-01,0.0076
3.960e-01,-0.0068
3.970e-01,0.0068
3.980e-01,-0.0068
3.990e-01,0.0076
4.000e-01,-0.0092
4.010e-01,0.1276
4.020e-01,-0.0076
4.030e-01,0.0076
4.040e-01,-0.0076
4.050e-01,0.0076
4.060e-01,-0.0068
4.070e-01,0.0068
4.080e-01,-0.0092
4.090e-01,0.0076
4.100e-01,-0.0076
4.110e-01,0.0076
4.120e-01,-0.0076
4.130e-01,0.0076
4.140e-01,-0.0076
4.150e-01,0.0956
4.160e-01,-0.0076
4.170e-01,0.0076
4.180e-01,-0.0092
4.190e-01,0.0076
4.200e-01,-0.0084
4.210e-01,0.0076
4.220e-01,-0.0076
4.230e-01,0.0076
4.240e-01,-0.0084
4.250e-01,0.0076
4.260e-01,-0.0076
4.270e-01,0.0076
4.280e-01,-0.0068
4.290e-01,0.0076
4.300e-01,-0.0076
4.310e-01,0.0076
4.320e-01,-0.0068
4.330e-01,0.0076
4.340e-01,-0.0076
4.350e-01,0.0076
4.360e-01,-0.0068
4.370e-01,0.0948
4.380e-01,-0.0068
4.390e-01,0.0492
4.400e-01,-0.0084
4.410e-01,0.0076
4.420e-01,-0.0068
4.430e-01,0.0076
4.440e-01,-0.0068
4.450e-01,0.0076
4.460e-01,-0.0068
4.470e-01,0.0076
4.480e-01,-0.0084
4.490e-01,0.0076
4.500e-01,-0.0084
4.510e-01,0.0076
4.520e-01,-0.0076
4.530e-01,0.0076
4.540e-01,-0.0076
4.550e-01,0.0068
4.560e-01,-0.0076
4.570e-01,0.0076
4.580e-01,-0.0084
4.590e-01,0.0972
4.600e-01,-0.0068
4.610e-01,0.0484
4.620e-01,-0.0084
4.630e-01,0.0076
4.640e-01,-0.0084
4.650e-01,0.0068
4.660e-01,-0.0068
4.670e-01,0.0068
4.680e-01,-0.0068
4.690e-01,0.0076
4.700e-01,-0.0076
4.710e-01,0.0076
4.720e-01,-0.0068
4.730e-01,0.0068
4.740e-01,-0.0076
4.750e-01,0.0076
4.760e-01,-0.01
4.770e-01,0.0076
4.780e-01,-0.0068
4.790e-01,0.0076
4.800e-01,-0.0068
4.810e-01,0.0948
4.820e-01,-0.0076
4.830e-01,0.0484
4.840e-01,-0.0068
4.850e-01,0.0076
4.860e-01,-0.0084
4.870e-01,0.0068
4.880e-01,-0.0076
4.890e-01,0.0076
4.900e-01,-0.0068
4.910e-01,0.0076
4.920e-01,-0.0076
4.930e-01,0.0076
4.940e-01,-0.0068
4.950e-01,0.0076
4.960e-01,-0.0068
4.970e-01,0.0068
4.980e-01,-0.0068
4.990e-01,0.0068

